key	name	hemi	roi	color	origin_name	rs_network
1	V1_r	r	V1	69 0 255	R_V1_ROI	1
2	MST_r	r	MST	49 109 132	R_MST_ROI	1
3	V6_r	r	V6	74 90 180	R_V6_ROI	2
4	V2_r	r	V2	28 56 236	R_V2_ROI	1
5	V3_r	r	V3	22 37 235	R_V3_ROI	1
6	V4_r	r	V4	22 44 221	R_V4_ROI	1
7	V8_r	r	V8	27 68 212	R_V8_ROI	1
8	4_r	r	4	34 181 28	R_4_ROI	2
9	3b_r	r	3b	44 191 28	R_3b_ROI	2
10	FEF_r	r	FEF	139 152 149	R_FEF_ROI	3
11	PEF_r	r	PEF	159 180 168	R_PEF_ROI	3
12	55b_r	r	55b	113 108 81	R_55b_ROI	3
13	V3A_r	r	V3A	22 71 247	R_V3A_ROI	2
14	RSC_r	r	RSC	155 64 135	R_RSC_ROI	6
15	POS2_r	r	POS2	210 108 204	R_POS2_ROI	6
16	V7_r	r	V7	29 94 191	R_V7_ROI	1
17	IPS1_r	r	IPS1	62 133 173	R_IPS1_ROI	3
18	FFC_r	r	FFC	55 106 126	R_FFC_ROI	1
19	V3B_r	r	V3B	41 75 221	R_V3B_ROI	1
20	LO1_r	r	LO1	16 67 201	R_LO1_ROI	1
21	LO2_r	r	LO2	21 64 184	R_LO2_ROI	1
22	PIT_r	r	PIT	40 72 184	R_PIT_ROI	1
23	MT_r	r	MT	32 98 106	R_MT_ROI	1
24	A1_r	r	A1	236 13 47	R_A1_ROI	2
25	PSL_r	r	PSL	192 146 135	R_PSL_ROI	4
26	SFL_r	r	SFL	70 55 50	R_SFL_ROI	7
27	PCV_r	r	PCV	135 143 157	R_PCV_ROI	6
28	STV_r	r	STV	144 114 107	R_STV_ROI	4
29	7Pm_r	r	7Pm	155 206 193	R_7Pm_ROI	6
30	7m_r	r	7m	51 44 54	R_7m_ROI	7
31	POS1_r	r	POS1	90 82 120	R_POS1_ROI	7
32	23d_r	r	23d	138 52 96	R_23d_ROI	6
33	v23ab_r	r	v23ab	32 8 27	R_v23ab_ROI	7
34	d23ab_r	r	d23ab	71 18 49	R_d23ab_ROI	7
35	31pv_r	r	31pv	71 14 52	R_31pv_ROI	7
36	5m_r	r	5m	45 173 52	R_5m_ROI	2
37	5mv_r	r	5mv	141 160 128	R_5mv_ROI	4
38	23c_r	r	23c	210 193 194	R_23c_ROI	4
39	5L_r	r	5L	66 158 68	R_5L_ROI	2
40	24dd_r	r	24dd	72 163 48	R_24dd_ROI	2
41	24dv_r	r	24dv	121 156 72	R_24dv_ROI	4
42	7AL_r	r	7AL	117 182 122	R_7AL_ROI	3
43	SCEF_r	r	SCEF	143 152 110	R_SCEF_ROI	4
44	6ma_r	r	6ma	154 172 139	R_6ma_ROI	3
45	7Am_r	r	7Am	170 243 213	R_7Am_ROI	3
46	7PL_r	r	7PL	161 251 228	R_7PL_ROI	3
47	7PC_r	r	7PC	72 178 108	R_7PC_ROI	3
48	LIPv_r	r	LIPv	64 126 172	R_LIPv_ROI	3
49	VIP_r	r	VIP	57 134 147	R_VIP_ROI	3
50	MIP_r	r	MIP	127 203 195	R_MIP_ROI	3
51	1_r	r	1	30 197 44	R_1_ROI	2
52	2_r	r	2	55 180 71	R_2_ROI	2
53	3a_r	r	3a	51 225 31	R_3a_ROI	2
